,Bacteria Name,has cell wall_x,has multidrug efflux pump_x,performs hydrolysis,porin loss_x,porin mutation_x,PBP modification_x,ribosomal methylation_x,biofilm protection_x,Antibiotic Name,has cell wall_y,has multidrug efflux pump_y,hydrolysis,porin loss_y,porin mutation_y,PBP modification_y,ribosomal methylation_y,biofilm protection_y,cell_wall_factor,efflux_pump_factor,hydrolysis_factor,porin_loss_factor,porin_mutation_factor,pbp_modification_factor,ribosomal_methylation_factor,biofilm_factor,Total Vulnerability,Resistance,cell wall factor,multidrug efflux pump factor,hydrolysis factor,porin loss factor,porin mutation factor,PBP modification factor,ribosomal methylation factor,biofilm protection factor
0,Mycoplasma,0,0,0,0,0,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,0.9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
1,Mycoplasma,0,0,0,0,0,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,0.9,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
2,Mycoplasma,0,0,0,0,0,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,0.7,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
3,Mycoplasma,0,0,0,0,0,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,0.8,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
4,Mycoplasma,0,0,0,0,0,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
5,Mycoplasma,0,0,0,0,0,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,0.8,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
6,Mycoplasma,0,0,0,0,0,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,0.8,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
7,Mycoplasma,0,0,0,0,0,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,0.9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
8,Escherichia coli,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
9,Escherichia coli,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
10,Escherichia coli,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
11,Escherichia coli,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
12,Escherichia coli,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
13,Escherichia coli,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
14,Escherichia coli,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
15,Escherichia coli,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
16,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
17,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
18,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
19,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
20,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
21,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
22,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
23,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
24,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
25,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
26,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
27,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
28,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
29,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
30,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
31,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
32,Salmonella enterica,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
33,Salmonella enterica,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
34,Salmonella enterica,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
35,Salmonella enterica,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
36,Salmonella enterica,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
37,Salmonella enterica,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
38,Salmonella enterica,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
39,Salmonella enterica,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
40,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
41,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
42,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
43,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
44,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
45,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
46,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
47,Acinetobacter baumannii,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
48,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.1,0.66,0.1,0.8,0.9,0.0,0.4,0.0,0.0,0.9
49,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,2.6,0.62,0.5,0.2,0.0,0.0,1.0,0.0,0.0,0.9
50,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,3.5,0.74,0.1,0.9,1.0,0.0,0.8,0.0,0.0,0.7
51,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.1,0.66,0.1,0.7,0.9,0.0,0.6,0.0,0.0,0.8
52,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.0,0.68,0.3,0.6,0.9,0.0,0.3,0.0,0.0,0.9
53,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.1,0.69,0.4,0.8,0.8,0.0,0.3,0.0,0.0,0.8
54,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.2,0.76,0.2,0.5,0.3,0.0,0.4,0.0,0.0,0.8
55,Neisseria gonorrhoeae,1,1,1,0,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.4,0.72,0.3,0.9,0.9,0.0,0.4,0.0,0.0,0.9
56,Enterococcus faecium,1,0,0,0,0,1,1,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,2.0,0.43,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.9
57,Enterococcus faecium,1,0,0,0,0,1,1,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,2.0,0.48,0.5,0.0,0.0,0.0,0.0,0.5,0.1,0.9
58,Enterococcus faecium,1,0,0,0,0,1,1,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,1.4,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.1,0.7
59,Enterococcus faecium,1,0,0,0,0,1,1,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,1.9,0.4,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.8
60,Enterococcus faecium,1,0,0,0,0,1,1,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,2.3,0.52,0.3,0.0,0.0,0.0,0.0,0.1,1.0,0.9
61,Enterococcus faecium,1,0,0,0,0,1,1,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,2.2,0.49,0.4,0.0,0.0,0.0,0.0,0.1,0.9,0.8
62,Enterococcus faecium,1,0,0,0,0,1,1,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,1.3,0.45,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.8
63,Enterococcus faecium,1,0,0,0,0,1,1,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,2.1,0.45,0.3,0.0,0.0,0.0,0.0,0.1,0.8,0.9
64,Enterobacter cloacae,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
65,Enterobacter cloacae,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
66,Enterobacter cloacae,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
67,Enterobacter cloacae,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
68,Enterobacter cloacae,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
69,Enterobacter cloacae,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
70,Enterobacter cloacae,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
71,Enterobacter cloacae,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
72,Serratia marcescens,1,1,1,0,0,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,2.7,0.57,0.1,0.8,0.9,0.0,0.0,0.0,0.0,0.9
73,Serratia marcescens,1,1,1,0,0,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,1.6,0.38,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.9
74,Serratia marcescens,1,1,1,0,0,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,2.7,0.57,0.1,0.9,1.0,0.0,0.0,0.0,0.0,0.7
75,Serratia marcescens,1,1,1,0,0,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,2.5,0.53,0.1,0.7,0.9,0.0,0.0,0.0,0.0,0.8
76,Serratia marcescens,1,1,1,0,0,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,2.7,0.61,0.3,0.6,0.9,0.0,0.0,0.0,0.0,0.9
77,Serratia marcescens,1,1,1,0,0,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,2.8,0.62,0.4,0.8,0.8,0.0,0.0,0.0,0.0,0.8
78,Serratia marcescens,1,1,1,0,0,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,1.8,0.62,0.2,0.5,0.3,0.0,0.0,0.0,0.0,0.8
79,Serratia marcescens,1,1,1,0,0,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.0,0.64,0.3,0.9,0.9,0.0,0.0,0.0,0.0,0.9
